Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Get It Done: Surprising Lessons from Motivation Science (Book Bite),"<p>You need to be able to motivate yourself to achieve your goals, especially during times of crisis. But how do you stay focused and get things done? Take a cue from a motivation scientist. In the 2022 book <i>Get It Done: Surprising Lessons from the Science of Motivation</i>, author and University of Chicago professor Ayelet Fishbach explores practical, scientific strategies to motivate yourself to get things done and achieve your goals in both your personal and professional life. Tune into this audiobook summary from Next Big Idea Club to hear Ayelet share five key insights from <i>Get It Done</i>. Learn how to set a meaningful goal, not just a means to a goal; find a fun path based on what matters; broaden your decision frame; start making decisions in advance; and engage in activities with other people who share the same goals as you. With these insights and much more, you’ll be prepared to get—and stay—motivated, regardless of what’s at stake.</p><p>Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-01-15 15:02 UTC,N/A,false,N/A,
Cybersecurity Careers: Become a Chief Information Security Officer (CISO),"Chief information security officer (CISO) has ascended to an executive role in most organizations, and all signs point to its continued prevalence in the boardroom. But the path to CISO, a role that calls for both business savvy and an aptitude for cybersecurity, is still largely undefined. In this course, instructor Jerich Beason breaks down what it takes to get hired into this unique and fast-growing position.<br><br>Jerich—who has been a CISO for five years and a consultant/advisor to new CISOs for another three—shares his hard-won advice with you. Learn about the common responsibilities and characteristics of a modern CISO, how to advocate for yourself as a strong candidate, and what to focus on in your first 90 days as CISO. Discover best practices for developing a cybersecurity strategy and building relationships. Plus, get tips for making your CEO, board, and other stakeholders feel at ease because you’re at the helm.",Course,2022-11-17 00:19 UTC,N/A,false,N/A,
Azure Network Engineer Associate (AZ-700) Cert Prep: Secure Network Connectivity to Azure Resources,"Becoming an Azure Network Engineer Associate shows you have the know-how to plan, implement, and manage Azure networking solutions—critical skills for network administrators. In this course, Microsoft Certified Trainer Derek Smith covers the section of the Azure Networking Solutions (AZ-700) exam that tests your skills on securing network connectivity to Azure resources. Join Derek as he covers the important aspects of this exam section, including how to: design, implement, and manage an Azure Firewall deployment; implement and manage network security groups (NSGs); and implement a web application firewall (WAF) deployment.",Course,2023-10-12 09:48 UTC,N/A,false,N/A,
CCSK Cert Prep: 5 Application Security and Identity Management for Cloud Computing,"Developing and managing cloud-based applications requires that security be considered in all DevOps activities. In this course, instructor Daniel Lachance teaches you about application security in the cloud and helps you prepare for the portion of the CCSK exam devoted to application security and identity management for cloud computing. Daniel begins with ways you can use identity and access management, identity federation, Amazon Web Services IAM groups, multifactor authentication (MFA), and more to manage what data is available online and how it can be accessed. He explains several facets of developing software in the cloud, then concludes with a thorough discussion of container cloud solutions, such as application containers, Azure container registries, and application load balancing.",Course,2022-07-15 11:14 UTC,N/A,false,N/A,
Strategic Negotiation,"<p>Learn negotiation skills to help you get what you want while also building better relationships with coworkers, bosses, business partners, and suppliers. In this course, leadership consultant and trainer Mike Figliuolo shares simple yet effective negotiating skills and tools. He covers the four major phases of the negotiating cycle and explains how to assess your situation, gather data, negotiate a deal, and then assess and learn from your experience. He also explains common negotiating pitfalls and what you can do to avoid them. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p></p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2021-05-14 14:54 UTC,N/A,false,N/A,
Putting ITIL® into Practice: DevOps for ITIL® Practitioners,"This installment of the <em>Putting ITIL® into Practice</em> series helps ITIL® Foundation certified professionals get a practical start at applying DevOps concepts within their ITIL®-driven enterprise IT organizations as they move from traditional IT towards cloud and mobile on their journey of digital transformation. Throughout this course, instructor David Pultorak examines where DevOps and ITIL® Foundation concepts intersect in an enterprise setting. He begins by introducing DevOps for ITIL®-driven shops, including a discussion of what cloud-native DevOps and enterprise IT shops do and do not have in common. He then covers ideas on how to adapt DevOps values, principles, methods, practices, and tools to accommodate enterprise IT challenges; how to adapt each of the aspects of ITIL®-driven shops to accommodate DevOps values, principles, methods, practices, and tools.",Course,2020-04-29 21:07 UTC,N/A,false,N/A,
Entrepreneurship: Bootstrapping Your Business,"Bootstrapping—starting and growing a business without outside funding—allows founders to play by their own rules. Curious about what it takes to start your own bootstrapped business? Tune into this course to learn how.<br><br>Instructor Kim Kaupe begins by helping you determine whether bootstrapping is the right move for you. She then shows how to create a business plan and set up measurable goals. Once you have your plans in place, she covers fundamentals like managing your cash flow and spending, navigating customer acquisition at a low cost, and creating partnerships with like-minded companies. Plus, learn how your personal spending plays into your growing business, as well as how to prepare friends and family for the potential ups and downs of the entrepreneurial journey. Whether you’re a new business owner or a seasoned entrepreneur looking for new ways to leverage your capital, this course can help you set up your self-funded business for success.",Course,2022-01-04 10:04 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-07-22 13:50 UTC,N/A,false,N/A,
Data Management with Apache NiFi,"<p>Apache NiFi is designed to automate the flow of data between software systems. If you are a data management professional, this course can give you the understanding you need to get started with this powerful tool. Janani Ravi guides you through getting started with Apache NiFi. Learn about core concepts and architecture, as well as how to download, start, and log into Apache NiFi on both macOS and Windows. Find out how to build and run data flows and how to integrate NiFi with PostgreSQL. Explore ways to configure and use NiFi processors and processing groups and integrate NiFi with Amazon S3. Plus, discover advanced features of NiFi dataflows like configuring back pressure, using a funnel in the dataflow, setting up monitoring and configuring alerts for a dataflow, and much more.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2024-12-30 17:08 UTC,N/A,false,N/A,
Mel Robbins on Confidence,"In this course, Mel Robbins—an expert on creating confidence, a best-selling author, and the most-booked female speaker in the world—presents relatable, actionable, and proven techniques for building and maintaining confidence at work, at home, and in life. She teaches skills based on behavioral science and real-life experience. Mel shows you the surprising definition of confidence and explains the science of the confidence-competency loop. She debunks three myths about confidence and shows you how to kill doubt and fear in five seconds flat. Mel discusses the three types of confidence and how to build confidence in three simple steps. She concludes with ways you can strengthen your confidence by putting it into action.",Course,2023-06-19 07:14 UTC,N/A,false,N/A,
Disrupting Yourself,"""Disruptors"" secure a foothold by coming up with ideas and innovations that eventually upend their entire community or industry. Disrupting yourself is the secret to breaking into a new field, never settling for less, and achieving more. In this course, author, <em>Harvard Business Review</em> blogger, and consultant Whitney Johnson walks you through her seven-step model to disrupt yourself and move to the next level in your career. Discover how to take the right risks, play to your strengths, embrace constraints, and more in this short course.",Course,2019-04-17 19:14 UTC,N/A,false,N/A,
What Is Scrum?,"Get a simple answer to a common project management question: What is scrum? This course provides a short, fast-paced introduction to one of the most popular agile frameworks. Explore the roles of the scrum team, from product owner to scrum master; the five core scrum events; the three scrum artifacts that build into project developments; and the reasons behind the widespread adoption of scrum. Instructor Kelley O’Connell provides insights into the secrets of scrum’s success and the reasons it may be the right choice for your organization.",Course,2022-08-08 11:15 UTC,N/A,false,N/A,
"Advanced Go Programming: Data Structures, Code Architecture, and Testing","Looking to advance your skills in Go, the popular open-source programming language? Join instructor Adelina Simion in this hands-on, interactive, skills-first coding course designed uniquely for intermediate- to advanced-level Go developers. Discover practical tips and techniques used by expert programmers to boost your technical know-how or prepare for an interview to land a new role in your field. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Adelina helps you develop your skills as a Go programmer with four specific, query-focused coding challenges. Practice using common data structures, streams, robust code, and dynamic programming.",Course,2024-09-25 12:33 UTC,N/A,false,N/A,
Windows Server 2019: Implementing Group Policy,"Group Policy is a major part of Active Directory and the key to consistent and secure Windows account configuration. In this course, Ed Liberman shows how to configure and manage Group Policy in Windows Server 2019. Ed covers processing for a Group Policy object, which determines the order in which policies are read and applied, including the default order and exceptions like block inheritance. He reviews critical settings that IT admins need to be able to configure, including Administrative Template files, folder redirection, and scripts. Plus, learn how to quickly troubleshoot Group Policy issues and configure passwords and account lockout policies.",Course,2019-05-07 20:06 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-04-27 11:06 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (201-450) Cert Prep: 2 Linux Kernel,"Are you an IT admin or network administrator needing to show your advanced understanding of and proficiency with Linux? The LPIC-2 Linux Engineer certification demonstrates an advanced proficiency with the Linux operating system and the ability to perform real-world maintenance and administrative tasks, and this series of courses from ITProTV helps you prepare to ace your certification exam. The 201-450 exam focuses on measuring and scaling system performance, configuring the Linux bootloader, advanced storage and network configurations, and other system maintenance tasks. This course, the second in the series, deals with the Linux kernel, including kernel components, kernel modules, how to compile a kernel, and how to monitor a kernel.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2022-06-15 11:07 UTC,N/A,false,N/A,
"Management Excellence at Microsoft: Model, Coach, Care","The role of the manager is arguably one of the most important roles in any organization. Providing managers with clear expectations of their role, and how it aligns with the goals of the organization is critical. In this course, learn how Microsoft, a company recognized for its leadership excellence, grows and cultivates managers with a simple and easily applied framework: Model, Coach, Care.
Join Joe Whittinghill, Corporate Vice President, Talent, Learning, and Insights, along with Satya Nadella, Kathleen Hogan, Jason Zander, Jean-Philippe Courtois, and Amy Hood as they share the approach to manager excellence and keys to empowering managers to deliver success. Through the passion and dedication of these members, explore and reflect on management behaviors and how this framework can be applied to your practice as a manager.",Course,2022-02-16 14:19 UTC,N/A,false,N/A,
High-Stakes Communication,"Imagine you’re in a room with a group of stakeholders, each of whom has the power to alter the course of your professional life. If you impress them, they’ll fund your project and champion you as a leader. If you falter, you’ll exit the room with a tarnished reputation. Are you prepared to handle a moment like this, even when it is unexpected? How do you set yourself up for success when so much is on the line? In this course, Jenna Lange shares techniques that can help you manage your message, your mindset, and your stakeholders when the stakes are high. Learn how to build concise, effective messages, manage your body language, avoid common pitfalls, and more. Along the way, Jenna shares case studies and surprising personal experiences that lend a real-world context to each concept.",Course,2022-03-29 08:35 UTC,N/A,false,N/A,
Running Kubernetes on AWS (EKS),"<p><b>Suggested prerequisites</b></p>
<ul>
<li>Access to a terminal application for running simple Unix commands in Windows, Linux, or macOS</li>
<li>Access to a text editor like VS Code</li>
<li>An active AWS account</li>
<li>Working knowledge of Kubernetes</li>
</ul>

<p><b>Projects</b></p>
<ul>
<li>Create a basic business service application that responds to HTTP requests with a random quote.</li> 
<p>Being able to operate Kubernetes clusters on AWS is an increasingly in-demand skill, and it often bodes well for career advancement. But both systems are complex and present unique challenges, and it can be difficult to know where to begin. In this course, technical curriculum developer Kim Schlesinger helps you get started with hands-on, practical experience running Kubernetes clusters on AWS Elastic Kubernetes Service (EKS).</p>",Course,2023-09-19 14:31 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2021-04-08 16:18 UTC,N/A,false,N/A,
Practice Exam 4 for AWS Certified Developer - Associate (DVA-C02),"<p>This practice exam is intended to help you prepare for the <b>AWS Certified Developer - Associate (DVA-C02)</b>certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 1 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 2 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-aws-certified-developer-associate-dva-c02"" target=""_blank""><i>Practice Exam 3 for AWS Certified Developer - Associate (DVA-C02)</i></a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.aws.amazon.com/certification/certified-developer-associate/"">AWS Certified Developer - Associate (DVA-C02)</a></b>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-11-14 20:35 UTC,N/A,false,N/A,
Running Kubernetes on AWS (EKS) (2021),"Kubernetes fans rejoice. You can now use this popular container orchestration tool with Amazon Web Services (AWS) to deploy enterprise-scale Kubernetes clusters—without the headaches of managing multiple masters. This course teaches you the ins and outs of Amazon Elastic Container Service for Kubernetes (Amazon EKS), including understanding the deployment model and creating the needed Identity and Access Management (IAM) roles and policies. Instructor Robert Stormer also shows how to deploy and scale EKS workers to meet your needs, and integrate storage and networking. Plus, find out how to manage user access with Amazon IAM and Kubernetes RBAC, and monitor your deployments and underlying resources. Along the way, Robert introduces useful Kubernetes extensions and add-ons that can be used in the AWS environment.",Course,2022-09-21 11:59 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-08-19 14:05 UTC,N/A,false,N/A,
Windows Server 2019: High Availability,"We want our systems to be 100% operational, 24/7. So, in today's complex and high-traffic environments, it's important to reduce points of failure, add smart redundancy, and use high-availability tools—like virtualization and failover clustering offered in Windows Server 2019—to keep systems performing at a high level. In this course, instructor Robert McMillen teaches high-availability techniques in Windows Server 2019. He covers failover clustering, clustering for virtual machines, and management of Windows cluster roles. By the end of the course, you'll be able to create a more reliable, scalable network for your end users, with a minimal amount of downtime.",Course,2019-05-31 09:44 UTC,N/A,false,N/A,
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2023-03-29 20:53 UTC,N/A,false,N/A,
Ten Habits of Mentally Strong People,"<div><a href=""https://www.linkedin.com/newsletters/6778524658191998977?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Scott's LinkedIn Newsletter</a></div><br> 
It’s a well-established fact that much like we can increase our physical strength, we can increase our mental strength as well, and that building inner strength leads to outer success. It has also been proven that the mentally strongest people have specific habits that drive their fortitude. In this course, Scott Mautz teaches different habits you can incorporate into your daily routine to specifically build your mental strength, contributing to success on so many fronts. Scott shows you how to strive for authenticity instead of approval; choose who gets to criticize you; avoid falling victim to comparison; stop asking for permission; stop giving away your power, and more.",Course,2023-12-27 14:15 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-09-24 11:11 UTC,N/A,false,N/A,
Data-Driven Prospecting for Business Development,"Discover how to leverage data and refine your prospecting techniques with business development expert Erika Martinez Garcia. Data-driven prospecting is an essential strategy in today's business environment, offering an effective way to target and engage the most promising leads. In this course, you'll boost your prospecting efforts by identifying key data sources, practicing efficient data management techniques, and employing analytical tools such as CRM systems and predictive analytics.",Course,2025-02-03 13:08 UTC,N/A,false,N/A,
Teamwork Essentials: Stand Out as a Valuable Team Member,"When you think of all the skills you could work on to advance your career, how often do you think about being a valuable team member? Almost never? In reality, working well with a team involves more than just a frame of mind, it takes a specific set of skills. In this course, leadership strategist Shadé Zahrai teaches you effective strategies to not only be a great teammate, but also how to develop skills while working with teams that will strengthen your reputation within your organization. She first shows you how to identify your own style of engaging with others, then how to use that information to cultivate strong relationships on the teams that you’re on by elevating the work of your teammates and nurturing trust. Shadé explains ways to build culture on the teams by fostering collaboration, navigating conflict, and creating an environment of psychological safety. Finally, learn techniques to develop strategic thinking skills that will serve your teams and help you solve problems.",Course,2023-10-26 14:07 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-03-20 21:47 UTC,N/A,false,N/A,
How to Stop Wasting Time in Meetings,"Does anyone love meetings? Let's face it—meetings have a bad reputation, and we probably all know why. They can waste time, add confusion, and lack clear takeaways. The good news is that they don't have to be this way. In this course taught by creativity-productivity expert Samantha Bennett, Sam explains the various ways in which you can make meetings more impactful. She walks through how you can set a clear meeting purpose based on the stakeholders and the type of meeting, and how to get aligned on a direction and ensure all voices and perspectives are heard. She also imparts her rules for effective meetings, how to follow up, and how to hold folks accountable after your meeting. If you take the time to watch this course, you might just find yourself making more of your time in your next meeting.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-04-25 13:46 UTC,N/A,false,N/A,
Introduction to IT Asset Management (ITAM),"In this course, learn the basics of IT asset management (ITAM). Instructor Stephen Rose starts with an overview of ITAM, explaining the roles and responsibilities of an IT asset manager—and why the role is important. Next, he covers the asset lifecycle, from acquisition to inventory to disposal of your assets. Learn ITAM tools and best practices, and see real-world examples of asset management execution. Plus, find out about the path ISO 9000 certification—including due diligence, gap analysis, and continual improvement—to ensure compliance and quality management in procurement.This session can also be used as test prep for the ITAM Certification.",Course,2024-10-14 17:36 UTC,N/A,false,N/A,
Understanding the Architectural Design Process,"What is the role of an architect in the creation of a building? And what are the regulation factors governing how an architect operates their business? In this course, join architect Branka Knezevic as she demystifies the architectural design process. Branka breaks down the major phases in the design process—from predesign to construction administration—using real-life examples from her own practice along the way. Plus, she delves into the role of contracts as guiding documents in project delivery, the different project delivery methods for architects, and more.",Course,2022-06-06 20:20 UTC,N/A,false,N/A,
JavaScript: Patterns,"For the past two decades, programmers have structured both their code and their conversations about code around the patterns first described in <i>Design Patterns</i>, the classic Gang of Four book. JavaScript programmers have participated in these conversations, but the patterns discussed mostly fit in the world of orthodox object-oriented programming. In this course, Emmanuel Henri explains how these patterns fit with JavaScript. He demystifies the purpose of some of the most common patterns, providing code examples along the way. Learn about key creational, structural, and behavioral design patterns, and how you can apply each of them in your JavaScript code.",Course,2022-08-25 16:23 UTC,N/A,false,N/A,
Introduction to Spark SQL and DataFrames,"Explore DataFrames, a widely used data structure in Apache Spark. DataFrames allow Spark developers to perform common data operations, such as filtering and aggregation, as well as advanced data analysis on large collections of distributed data. With the addition of Spark SQL, developers have access to an even more popular and powerful query language than the built-in DataFrames API. In this course, instructor Dan Sullivan shows how to perform basic operations—loading, filtering, and aggregating data in DataFrames—with the API and SQL, as well as more advanced techniques that are easily performed in SQL. In this section of the course, Dan explains how to join data, eliminate duplicates, and deal with null or NA values. The lessons conclude with three in-depth examples of using DataFrames for data science: exploratory data analysis, time series analysis, and machine learning.",Course,2025-01-09 13:04 UTC,N/A,false,N/A,
Mastering C++: Exception Handling,"<p>Bug fixing in code can start off rather simple, with obvious and recurring bugs easy to identify and root out. But eventually the bugs become harder to find and more difficult to fix. Instead of searching out errors one by one, getting to the root of the problem by enhancing your exception handling can turn your code base from chaos to clarity.</p>
<p>Learn how to handle errors and anomalies in your C++ code like a pro in this course with software engineer Károly Nyisztor. From the basics of exceptions to advanced techniques for robust error handling, Károly guides you through the nuances of exception handling, and explains how proper handling and logging make bugs easier to track and fix. </p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-07-19 08:19 UTC,N/A,false,N/A,
